beta_variation_max_abs,contact_max_speed,contact_mean_speed,contact_num_sliding,description,estimated_ground_y,folder,foot_source,fps,frames,ground_confidence,max_foot_y,min_foot_y,opensim_motion,penetration0_count,penetration0_max,penetration0_mean,penetration_estimated_count,penetration_estimated_max,penetration_estimated_mean,pkl,pose_delta_lower_max_abs,pose_delta_total_max_abs,pose_delta_upper_max_abs,retarget_dir,root_max_vertical_accel,root_rms_vertical_accel,sequence,sequence_group,stage_id,stage_order,track_id
0.0,2.63178492,0.32334352,258,World-grounded signal,0.01590389,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-2,feet_refined,60.0,119,high,0.16407102,-0.03228503,,120,0.03228503,0.00212675,235,0.04818892,0.00826585,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-2/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00226176,0.00066059,6月2日-2,june2,02_world_grounded,2,merged
0.0,9.69850159,0.28988826,64,Post-processed signal: world-grounded plus lower-body/contact correction,0.01663959,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-2,feet_refined,60.0,119,high,0.14181846,0.00127554,,0,0.0,0.0,229,0.01536405,0.0026127,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-2/lower_body_corrected/corrected_smpl.pkl,0.41711798,0.41711798,0.0,,0.00226176,0.00066059,6月2日-2,june2,03_lower_body_corrected,3,merged
0.80837339,2.87240767,0.35169569,317,Original WHAM signal,-0.85029858,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3,feet_refined,60.0,132,high,-0.69694644,-0.89607924,,528,0.89607924,0.84083933,256,0.04578066,0.01124568,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3/wham_output.pkl,0.0,0.0,0.0,,0.00396408,0.0006176,6月2日-3,june2,00_raw_wham,0,merged
0.0,2.87240767,0.35169569,317,Fixed-beta canonical signal,-0.85029858,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3,feet_refined,60.0,132,high,-0.69694644,-0.89607924,,528,0.89607924,0.84083933,256,0.04578066,0.01124568,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00805789,0.00089715,6月2日-3,june2,01_fixed_beta,1,merged
0.0,2.87240767,0.35169569,317,World-grounded signal,0.02258557,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3,feet_refined,60.0,132,high,0.19512409,-0.03039712,,146,0.03039712,0.00296805,258,0.05298269,0.01225873,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00260055,0.00064511,6月2日-3,june2,02_world_grounded,2,merged
0.0,9.58348942,0.26227349,68,Post-processed signal: world-grounded plus lower-body/contact correction,0.01787168,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3,feet_refined,60.0,132,high,0.16245592,-0.0009321,,4,0.0009321,2.34e-06,253,0.01880378,0.00374507,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-3/lower_body_corrected/corrected_smpl.pkl,0.35192534,0.35192534,0.0,,0.00260055,0.00064511,6月2日-3,june2,03_lower_body_corrected,3,merged
0.65927505,2.87888002,0.33146033,253,Original WHAM signal,-0.84695649,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4,feet_refined,60.0,113,high,-0.75826448,-0.90457463,,452,0.90457463,0.83952343,232,0.05761814,0.01225377,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4/wham_output.pkl,0.0,0.0,0.0,,0.00168975,0.00045856,6月2日-4,june2,00_raw_wham,0,merged
0.0,2.87888002,0.33146033,253,Fixed-beta canonical signal,-0.84695649,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4,feet_refined,60.0,113,high,-0.75826448,-0.90457463,,452,0.90457463,0.83952343,232,0.05761814,0.01225377,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00574023,0.00073426,6月2日-4,june2,01_fixed_beta,1,merged
0.0,2.87888002,0.33146033,253,World-grounded signal,0.02644122,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4,feet_refined,60.0,113,high,0.11220974,-0.04077178,,125,0.04077178,0.00357693,241,0.067213,0.01518403,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00393075,0.0008512,6月2日-4,june2,02_world_grounded,2,merged
0.0,1.08524299,0.0939123,60,Post-processed signal: world-grounded plus lower-body/contact correction,0.00526738,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4,feet_refined,60.0,113,high,0.0975346,-0.00303918,,134,0.00303918,0.00038856,219,0.00830656,0.00247743,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-4/lower_body_corrected/corrected_smpl.pkl,0.43945217,0.43945217,0.0,,0.00115579,0.00028794,6月2日-4,june2,03_lower_body_corrected,3,merged
0.76130879,2.46063089,0.36037594,343,Original WHAM signal,-0.85123843,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5,feet_refined,60.0,128,high,-0.74691975,-0.90470892,,512,0.90470892,0.84417129,255,0.05347049,0.01268135,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5/wham_output.pkl,0.0,0.0,0.0,,0.00291962,0.00058204,6月2日-5,june2,00_raw_wham,0,merged
